country,iso_code,year,mismanaged_waste_per_capita,gdp_per_capita,population,continent,log_gdp,log_mismanaged_waste
Estonia,EST,2010,0.019,22740.97,1332000,Europe,4.3568,-1.721
Faeroe Islands,FRO,2010,0.005,28702.23,48000,Europe,4.4579,-2.3002
Falkland Islands,FLK,2010,0.005,14374.72,3000,South America,4.1576,-2.3002
Fiji,FJI,2010,0.151,7352.09,860000,Oceania,3.8664,-0.821
Finland,FIN,2010,0.005,39848.13,5366000,Europe,4.6004,-2.3002
France,FRA,2010,0.004,36855.84,62880000,Europe,4.5665,-2.3969
French Guiana,GUF,2010,0.039,14374.72,233000,South America,4.1576,-1.4088
French Polynesia,PYF,2010,0.013,4231.67,266000,Oceania,3.6265,-1.8857
Gabon,GAB,2010,0.019,15355.78,1624000,Africa,4.1863,-1.721
Gambia,GMB,2010,0.041,1644.24,1793000,Africa,3.216,-1.3871
Georgia,GEO,2010,0.035,6733.78,4099000,Asia,3.8283,-1.4558
Germany,DEU,2010,0.01,40428.72,80827000,Europe,4.6067,-1.9996
Ghana,GHA,2010,0.032,3059.38,24780000,Africa,3.4856,-1.4947
Gibraltar,GIB,2010,0.005,28702.23,34000,Europe,4.4579,-2.3002
Greece,GRC,2010,0.004,28726.08,10888000,Europe,4.4583,-2.3969
Greenland,GRL,2010,0.005,15628.59,57000,North America,4.1939,-2.3002
Grenada,GRD,2010,0.064,11178.0,106000,North America,4.0484,-1.1938
Guadeloupe,GLP,2010,0.039,15628.59,406000,North America,4.1939,-1.4088
Guam,GUM,2010,0.006,4231.67,159000,Oceania,3.6265,-2.2211
Guatemala,GTM,2010,0.105,6714.06,14630000,North America,3.827,-0.9788
Guernsey,GGY,2010,0.005,28702.23,5366000,Europe,4.4579,-2.3002
Guinea,GIN,2010,0.025,1573.54,10192000,Africa,3.1969,-1.6019
Guinea-Bissau,GNB,2010,0.046,1400.36,1523000,Africa,3.1462,-1.3371
Guyana,GUY,2010,0.224,5847.86,749000,South America,3.767,-0.6497
Haiti,HTI,2010,0.044,1502.03,9949000,North America,3.1767,-1.3564
Honduras,HND,2010,0.079,3971.18,8317000,North America,3.5989,-1.1023
Hong Kong,HKG,2010,0.01,48107.71,6966000,Asia,4.6822,-1.9996
Iceland,ISL,2010,0.006,38978.01,320000,Europe,4.5908,-2.2211
India,IND,2010,0.009,4404.7,1234280960,Asia,3.6439,-2.0453
Indonesia,IDN,2010,0.047,8433.5,241834000,Asia,3.926,-1.3278
